Tweets,Polarity,Sentiments
Covid 19 Corona,0.0,Neutral
Seasonal change Temparature and relative humidity affects some virus it is god given in case of India But In case of CORONA social distancing is only path for prevetion,0.011111111111111112,Positive
Strictly Ban China from rest of the world for creating pandemic Corona the ChinaVirus ita,0.0,Neutral
Keep Special Distance Be Safe Stay Home corona indialockdown21days West Bengal India,0.4285714285714286,Positive
BanChina producerOf COVID2019 the culprit of humanity We should BAN China for producing deadly Corona Virus and many more China itself is a virus ChinaVirus Shame on you China Joy Hind,0.4,Positive
Eating is one s own choice Being a veggie myself would like the World to turn herbivorous Maturity is quality one should possess Moreover the real reason for Corona is still debatable Jumping gun is again childish,0.20000000000000004,Positive
I have a feel of irony that Corona Virus has come in support of CAA They protested for illegal entry immigrants Now they are locked in their own rooms or prohibited to get out of own boundary,0.2333333333333333,Positive
We have to win stayhome staymotivated prayfortheworld prayfordoctors covid 19 corona coronavirus fightsong Murshidabad W B,0.8,Positive
As a responsible citizens all Muslims temporarily must stop gathering in mosque for thier daily Friday namaz support the fight against Corona virus Respected Imams as point man has a grt duty to serve nation in his own way Hope the Best sense prevail,0.45,Positive
The worthless speaks Running hate campaigns when the nation world fights to stop Corona Best this little guy must be made to serve food to the quarantine patients in isolation wards of Hospital Only this activity will help him become a better Indian,-0.047916666666666684,Negative
It s really problem with Modi He is behind all the problems in the world Even Corona see how he is marketing Namaste against handshake This is narrative of RSS conspiracy radar,-0.1,Negative
In a book End of Days written by Sylvia Brownie This is mentioned Yes It is relatable to corona virus maybe coronavirusinindia CoronavirusReachesDelhi coronavirus,0.0,Neutral
Poverty is the biggest problem in India not Covid 19 Not a single man or woman should die in India because of hunger Police should help,0.03571428571428571,Positive
Covid 19 cases are rising now,0.0,Neutral
Dear Modiji l hope your addressing to nation today will evoke splendid result We must win over and show path to other global communities how to combat COVID 19 under your noble leadership With nationalist salute,0.4216666666666667,Positive
order to avoid the humongous loss that might hit the automobile industry It is request to please spread this message for the sake of better health of the society please postpone the deadlines of registration for BS4 covid 19 coronavirus pandemic supremecourt quarantine,0.5,Positive
Amidst the outbreak of COVID 19 Coronavirus a WHO declared pandemic the Govt of India has taken necessary measures and called for a lockdown But due to Supreme Court s order on getting all the BS4 vehicles registered till March 31 2020 we the employees who are into the,-0.0625,Negative
recommendeds the use of anti malaria drug hydroxy chloroquine to treat the Covid 19 disease in high risk cases with utmost precaution,0.16,Positive
We request all our policyholders to stay indoors and avoid visiting any office to pay premium In view of the extraordinary circumstances prevailing in the country on account of COVID 19,0.3333333333333333,Positive
Has he informed you that he won t be donating for the COVID 19 fund He is one of the best industrialist in India and what he has done for India even you might have not done for your own family,0.8,Positive
safety coronavirus covid 19 westbengal india precautions India,0.0,Neutral
Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,0.2,Positive
